Name,Category,Cuisine,lat,lng
Joloko,restaurant,caribbean;jamaican,3.1573645,101.7005830
Petaling Street Asam Laksa,fast_food,N/A,3.1437143,101.6976447
Gerai Pak Hassan (breakfast roti),restaurant,N/A,3.1597377,101.7021571
Warong Che Senah Streetfood,restaurant,N/A,3.1604690,101.7023813
Warong Old China,restaurant,N/A,3.1449460,101.6967095
Kafei Dian,restaurant,coffee_shop;malaysian,3.1416022,101.6969755
Tapestry,restaurant,brunch,3.1572950,101.7002347
Pizzeria Dihyang,restaurant,pizza,3.1576540,101.7005241
Street Food,restaurant,malaysian,3.1566506,101.7011669
Wu Li Tou Drunken Clam Noodle,restaurant,N/A,3.1447602,101.6986851
Saba Restaurant,restaurant,middle_eastern,3.1751209,101.7347145
Kampung Xpress,fast_food,malaysian,3.1990240,101.7374218
Crispy Pork Noodles Soup,restaurant,N/A,3.1434742,101.6985467
Mr. Naan & Ms. Idly,restaurant,indian,3.1313000,101.6861402
Agriya Bhavan,restaurant,indian,3.1308115,101.6855834
Domino's,fast_food,pizza,3.1320715,101.6878740
Hokkien Dim Sum,restaurant,chinese,3.1137023,101.6115537
Hainanese Restaurant,restaurant,chinese,3.1143944,101.6125420
OldTown White Coffee,cafe,coffee_shop;malaysian,3.0475650,101.5862532
Mala Tang Jalan Sultan,restaurant,N/A,3.1432363,101.6987369
1919,restaurant,malay,3.1620051,101.7132401
Ching Ching by Pandan Republic,cafe,coffee_shop;ice_cream;malaysian;tea,3.1416100,101.6975691
The Hungry Tapir,restaurant,western,3.1417953,101.6977197
Zibo Barbecue,restaurant,barbecue;chinese,3.1633739,101.7148934
The Castle,restaurant,N/A,3.1634055,101.7163928
Pik Wah Restaurant Chinwoo Stadium KL,restaurant,chinese;seafood,3.1414372,101.6988598
Restoran Telawi,restaurant,mamak,3.1429839,101.6934641
Starbucks,cafe,coffee_shop,3.1470564,101.6995006
Da Chi Ba Fang Restaurant,restaurant,N/A,3.1624070,101.7150173
House of Patin Lipis di KL,restaurant,N/A,3.1645398,101.7150285
Sassolino,restaurant,italian,3.1609073,101.7116101
The Mayang,restaurant,N/A,3.1604241,101.7112644
The 19th Suzuki Hanten,restaurant,chinese;japanese,3.1640364,101.7140759
Les Bouchons,restaurant,french,3.1604202,101.7112844
Havelly,restaurant,indian,3.1644377,101.7154824
The Wildflowers,restaurant,N/A,3.1413471,101.6979047
